label,content
0,我有點沮喪
0,我今天感覺不太好。我的狗不舒服。
0,不太好，我的狗昨天死了。
0,我有點沮喪
0,我一直看中東的新聞報導讓我更加焦慮。
0,我因分手感到很沮喪。
0,我今天心情很不好。
0,沒那麼好。我感到有點孤獨
0,我最近情緒低落，無法擺脫這種恐懼。
0,非常不安。本週早些時候我失去了一個親人。
0,我今天非常難過。我一直在想我的母親，她最近去世了。這很困難。
0,我真的很著急，我感覺我沒有通過考試
0,感覺不太好，我真的很掙扎。
0,不太好。由於壓力，我最近一直感到悲傷和昏昏欲睡。
0,我今天很沮喪。
0,今天不太好
0,我感到很沮喪，因為連續一周都在下雨。
0,我只是感覺真的很沮喪。
0,我很鬱悶。我找不到起床的動力。
0,我感到非常難過。昨晚我失去了親人。
0,我做得不太好。
0,我感覺沒那麼好。
0,特別糟糕
0,我心情不好。
0,由於我的健康狀況，感覺非常糟糕。
0,我覺得很難受。
0,感覺鬱悶今天工作不順利。
0,不好，我在工作中度過了緊張的一天。
0,我真的感到很失落和悲傷。我的伙伴和我分手了。
0,我真的很不高興，我的小狗昨天跑了，我到處都找不到他。
0,不太好，今天早上我下雨淋濕了。
0,我感覺不太好。
0,我覺得很難受。我狗丟了。
0,我感到很沮喪，今天早上我不想起床。
0,我今天心情有點低落。
0,不太好。我的姐妹們有地方可去，有事可做。我覺得落後了。
0,很糟糕。我發現我父母要離婚了。
0,今天心情特別低落。和弟弟吵架了
0,不是很好。
0,我不厲害。
0,我感覺很糟糕，我想我今天失去了一個朋友。
0,我很沮喪，因為我男朋友和我分手了。
0,糟糕，昨天我失去了一個親近的人。
0,我感覺不太好。我男朋友昨天和我分手了。
0,真的很傷心。我不能讓自己做任何事
0,我感到空虛和絕望。這次的疫情真的讓我很受傷。
0,請放過我吧，我很痛苦。
0,由於封鎖，今天很傷心
0,我受夠了。我認為我這個月無法應付所有賬單，而且我還在不停地工作。
0,我今天感覺超級沮喪，似乎沒有任何意義了
0,我真的很傷心很沮喪。
0,沒那麼好。我發現我的祖母活不長了。
0,我今天感覺很噁心
